;DATE=2015-07-11	LAT=6741	LON=-21987
;UTC--MHz--Call--SNR,dB--QSB,%--Evidence--Delay,ms
00:15:30	14	K6TD  	 5.8	  0	 5.35	  41
00:15:40	14	ZL6B  	-10.2	100	 0.15	 329
00:16:00	14	JA2IGY	-14.0	100	 0.15	  19
00:16:10	14	RR9O  	-6.1	100	 0.14	  18
00:16:20	14	VR2B  	-11.2	100	 0.14	 125
00:16:30	14	4S7B  	-6.7	100	 0.27	 149
00:16:40	14	ZS6DN 	-7.8	100	 0.14	 144
00:16:50	14	5Z4B  	-4.9	100	 0.21	  95
00:17:00	14	4X6TU 	-7.8	100	 0.17	 283
00:17:10	14	OH2B  	-4.6	100	 0.15	 267
00:17:20	14	CS3B  	-9.2	100	 0.12	 250
00:17:30	14	LU4AA 	-6.0	100	 0.17	 155
00:17:40	14	OA4B  	-13.6	100	 0.10	 295
00:17:50	14	YV5B  	-7.4	100	 0.22	 -54
00:18:00	18	YV5B  	-6.6	100	 0.12	 310
00:18:10	18	4U1UN 	-6.1	100	 0.26	 -14
00:18:20	18	VE8AT 	-5.8	100	 0.17	 266
00:18:30	18	W6WX  	 2.0	 38	 2.55	  41
00:18:40	18	K6TD  	-6.0	100	 0.21	  27
00:18:50	18	ZL6B  	-20.0	100	 0.10	 117
00:19:00	18	VK6RBP	-5.6	100	 0.22	 173
00:19:10	18	JA2IGY	-6.4	 95	 0.05	 272
00:19:20	18	RR9O  	-7.0	100	 0.04	 175
00:19:30	18	VR2B  	-6.1	100	 0.15	  92
00:19:40	18	4S7B  	-5.5	100	 0.09	 104
00:19:50	18	ZS6DN 	-8.7	100	 0.08	 275
00:20:10	18	4X6TU 	-5.0	100	 0.16	  49
00:20:20	18	OH2B  	-7.4	100	 0.11	 119
00:20:30	18	CS3B  	-4.4	100	 0.14	 152
00:20:40	18	LU4AA 	-5.9	100	 0.06	 165
00:20:50	18	OA4B  	-11.5	100	 0.08	  57
00:21:00	21	OA4B  	-5.7	100	 0.23	 182
00:21:10	21	YV5B  	-2.8	 82	 1.43	  48
00:21:20	21	4U1UN 	 2.8	 29	 3.99	  48
00:21:30	21	VE8AT 	-5.7	100	 0.26	 140
00:21:40	21	W6WX  	26.3	  0	 6.76	  35
00:21:50	21	K6TD  	14.0	  0	 5.82	  37
00:22:00	21	ZL6B  	-7.6	100	 0.11	 243
00:22:10	21	VK6RBP	-20.0	100	 0.07	 296
00:22:20	21	JA2IGY	-6.8	100	 0.11	 -46
00:22:30	21	RR9O  	-3.7	100	 0.22	  52
00:22:40	21	VR2B  	-5.7	100	 0.09	 140
00:22:50	21	4S7B  	-6.6	100	 0.20	 136
00:23:00	21	ZS6DN 	-4.0	 96	 0.10	  78
00:23:10	21	5Z4B  	-7.5	100	 0.05	  17
00:23:20	21	4X6TU 	-6.7	100	 0.24	 184
00:23:30	21	OH2B  	-7.0	100	 0.07	 182
00:23:40	21	CS3B  	-3.9	100	 0.20	 132
00:23:50	21	LU4AA 	-7.5	100	 0.10	 232
00:24:00	24	LU4AA 	-4.8	100	 0.25	 -26
00:24:10	24	OA4B  	-11.6	100	 0.07	 -17
00:24:20	24	YV5B  	-6.5	100	 0.30	 302
00:24:30	24	4U1UN 	-5.5	100	 0.12	 143
00:24:40	24	VE8AT 	-5.2	100	 0.23	 126
00:24:50	24	W6WX  	14.3	 11	 5.47	  33
00:25:00	24	K6TD  	-1.7	 92	 1.17	  31
00:25:10	24	ZL6B  	-6.3	100	 0.10	 243
00:25:20	24	VK6RBP	-7.3	100	 0.16	 104
00:25:30	24	JA2IGY	-6.1	100	 0.11	  39
00:25:40	24	RR9O  	-4.8	100	 0.31	 169
00:25:50	24	VR2B  	-4.3	100	 0.08	 261
00:26:00	24	4S7B  	-6.7	100	 0.28	  27
00:26:10	24	ZS6DN 	-6.3	100	 0.06	 -15
00:26:20	24	5Z4B  	-8.3	100	 0.09	  84
00:26:30	24	4X6TU 	-6.5	100	 0.11	  50
00:26:40	24	OH2B  	-6.7	100	 0.13	  56
00:26:50	24	CS3B  	-6.0	 95	 0.24	 134
